instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Bassoon,haut médium,Clarinet_Bb,gorge,376,355,21,1175,1391,216,0.917,/o/–/å/
Viola,médium,Viola_Ensemble,médium,333,312,21,1317,1336,19,0.916,autre
Bass_Tuba,grave,Contrabass,suraigu,215,236,21,978,1275,297,0.915,/u/
Contrabass,suraigu,Trombone,grave,236,215,21,1275,1006,269,0.907,/u/
Contrabass,aigu,Violoncello,grave,172,193,21,1253,1149,104,0.905,/u/
Contrabass,aigu,Violoncello,médium,172,193,21,1253,1199,54,0.905,/u/
Bassoon,haut médium,Viola_Ensemble,grave,376,355,21,1175,1304,129,0.896,/o/–/å/
Clarinet_Bb,chalumeau,Violoncello_Ensemble,aigu,215,236,21,1315,1277,38,0.891,/u/
Bass_Tuba,grave,Violoncello_Ensemble,aigu,215,236,21,978,1277,299,0.874,/u/
Contrabass,aigu,Contrabass_Ensemble,aigu,172,193,21,1253,1225,28,0.871,/u/
Contrabass,aigu,Contrabass_Ensemble,suraigu,172,193,21,1253,1258,5,0.871,/u/
Viola_Ensemble,grave,Violin_Ensemble,suraigu,355,376,21,1304,1242,62,0.870,/o/–/å/
Clarinet_Bb,chalumeau,Contrabass,suraigu,215,236,21,1315,1275,40,0.854,/u/
Clarinet_Bb,gorge,Violin_Ensemble,suraigu,355,376,21,1391,1242,149,0.839,/o/–/å/
Contrabass_Ensemble,médium,Violoncello_Ensemble,grave,172,193,21,1188,1155,33,0.834,/u/
Contrabass_Ensemble,médium,Violoncello_Ensemble,médium,172,193,21,1188,1208,20,0.834,/u/
Bass_Tuba,grave,Horn,pédale,215,236,21,978,911,67,0.833,/u/
Oboe,grave,Viola,médium,312,333,21,1430,1317,113,0.828,autre
Bass_Clarinet_Bb,médium,Bass_Tuba,médium,183,204,21,1270,1000,270,0.819,/u/
Flute,grave,Oboe,grave,333,312,21,1377,1430,53,0.818,autre
Bass_Tuba,grave,Violoncello,aigu,215,236,21,978,1251,273,0.812,/u/
Bassoon,bas médium,Flute,médium,516,495,21,1152,1436,284,0.811,/o/–/å/
Bass_Clarinet_Bb,grave,Contrabass_Ensemble,aigu,172,193,21,1257,1225,32,0.787,/u/
Bass_Clarinet_Bb,grave,Contrabass_Ensemble,suraigu,172,193,21,1257,1258,1,0.787,/u/
Contrabass_Ensemble,médium,Violoncello,grave,172,193,21,1188,1149,39,0.775,/u/
Contrabass_Ensemble,médium,Violoncello,médium,172,193,21,1188,1199,11,0.775,/u/
Bassoon,haut médium,Violin_Ensemble,aigu,376,355,21,1175,1234,59,0.747,/o/–/å/
Oboe,grave,Viola_Ensemble,suraigu,312,333,21,1430,1136,294,0.742,autre
Trombone,médium,Trumpet_C,médium,301,322,21,1007,1306,299,0.739,autre
Bass_Tuba,suraigu,Viola_Ensemble,médium,333,312,21,1042,1336,294,0.725,autre
Bassoon,bas médium,Trumpet_C,grave,516,495,21,1152,1259,107,0.701,/o/–/å/
Bassoon,haut médium,Violin,aigu,376,355,21,1175,1228,53,0.685,/o/–/å/
Bass_Clarinet_Bb,aigu,Oboe,grave,333,312,21,1278,1430,152,0.660,autre
Bass_Tuba,suraigu,Oboe,grave,333,312,21,1042,1430,388,0.408,autre
Bassoon,grave,Horn,aigu,506,484,22,1127,1014,113,0.985,/o/–/å/
Clarinet_Bb,gorge,Viola_Ensemble,suraigu,355,333,22,1391,1136,255,0.983,autre
Trombone,pédale,Violoncello,suraigu,226,204,22,996,1270,274,0.974,/u/
Trombone,grave,Violoncello,grave,215,193,22,1006,1149,143,0.974,/u/
Trombone,grave,Violoncello,médium,215,193,22,1006,1199,193,0.974,/u/
Trumpet_C,médium,Violin_Ensemble,médium,322,344,22,1306,1231,75,0.953,autre
Viola,grave,Violin_Ensemble,médium,366,344,22,1305,1231,74,0.953,autre
Viola,médium,Violin_Ensemble,aigu,333,355,22,1317,1234,83,0.953,autre
Viola,aigu,Violin_Ensemble,suraigu,398,376,22,1232,1242,10,0.953,/o/–/å/
Viola,suraigu,Violin_Ensemble,médium,366,344,22,1095,1231,136,0.953,autre
Trombone,pédale,Violoncello_Ensemble,suraigu,226,204,22,996,1247,251,0.948,/u/
Trombone,grave,Violoncello_Ensemble,grave,215,193,22,1006,1155,149,0.948,/u/
Trombone,grave,Violoncello_Ensemble,médium,215,193,22,1006,1208,202,0.948,/u/
Clarinet_Bb,chalumeau,Violoncello,grave,215,193,22,1315,1149,166,0.947,/u/
Clarinet_Bb,chalumeau,Violoncello,médium,215,193,22,1315,1199,116,0.947,/u/
Violin,grave,Violin_Ensemble,grave,462,484,22,1208,1295,87,0.934,/o/–/å/
Violin,médium,Violin_Ensemble,médium,366,344,22,1115,1231,116,0.934,autre
Violin,suraigu,Violin_Ensemble,suraigu,398,376,22,1207,1242,35,0.934,/o/–/å/
Bass_Clarinet_Bb,aigu,Clarinet_Bb,gorge,333,355,22,1278,1391,113,0.932,autre
Flute,grave,Viola_Ensemble,grave,333,355,22,1377,1304,73,0.926,autre
Bass_Tuba,grave,Contrabass_Ensemble,aigu,215,193,22,978,1225,247,0.918,/u/
Bass_Tuba,grave,Contrabass_Ensemble,suraigu,215,193,22,978,1258,280,0.918,/u/
Bass_Clarinet_Bb,aigu,Viola_Ensemble,grave,333,355,22,1278,1304,26,0.917,autre
Bass_Clarinet_Bb,médium,Contrabass,grave,183,161,22,1270,1207,63,0.916,/u/
Bass_Clarinet_Bb,médium,Contrabass,médium,183,161,22,1270,1204,66,0.916,/u/
Viola,médium,Viola_Ensemble,grave,333,355,22,1317,1304,13,0.916,autre
Flute,grave,Violin_Ensemble,aigu,333,355,22,1377,1234,143,0.913,autre
Clarinet_Bb,gorge,Viola,médium,355,333,22,1391,1317,74,0.898,autre
